round,source,target,blockid,isLocal,count
1,0,0,36,0,4
1,0,0,37,1,4
1,0,0,38,1,4
1,0,0,39,1,4
1,0,2,4,0,4
1,0,2,5,0,4
1,0,2,6,1,4
1,0,2,7,1,4
1,0,3,32,0,4
1,0,3,33,0,4
1,0,3,34,1,4
1,0,3,35,0,4
1,0,8,0,0,4
1,0,8,1,1,4
1,0,8,2,1,4
1,0,8,3,0,4
1,0,9,0,1,2
1,0,9,1,0,2
1,0,10,2,0,5
1,0,10,3,1,5
1,0,10,4,1,5
1,0,10,5,1,5
1,0,10,6,0,5
1,0,11,6,0,2
1,0,11,7,0,2
1,0,16,3,0,3
1,0,16,5,0,3
1,0,16,6,0,3
1,0,17,37,0,1
1,0,18,32,1,3
1,0,18,33,1,3
1,0,18,34,0,3
1,0,19,36,0,1
1,0,24,32,0,2
1,0,24,33,0,2
1,0,25,32,0,3
1,0,25,33,0,3
1,0,25,34,0,3
1,0,26,33,0,3
1,0,26,34,0,3
1,0,26,35,0,3
1,0,31,34,0,4
1,0,31,35,1,4
1,0,31,36,1,4
1,0,31,37,0,4
1,1,0,100,0,4
1,1,0,101,1,4
1,1,0,102,1,4
1,1,0,103,1,4
1,1,1,96,0,1
1,1,2,68,0,4
1,1,2,69,1,4
1,1,2,70,1,4
1,1,2,71,1,4
1,1,3,97,0,3
1,1,3,98,0,3
1,1,3,99,0,3
1,1,8,64,0,4
1,1,8,65,0,4
1,1,8,66,1,4
1,1,8,67,0,4
1,1,9,64,1,3
1,1,9,65,1,3
1,1,9,66,0,3
1,1,10,66,0,4
1,1,10,67,1,4
1,1,10,68,1,4
1,1,10,69,0,4
1,1,11,71,0,1
1,1,16,67,0,1
1,1,17,100,0,3
1,1,17,101,0,3
1,1,17,102,0,3
1,1,18,96,0,3
1,1,18,97,0,3
1,1,18,98,0,3
1,1,19,99,0,2
1,1,19,100,0,2
1,1,24,96,1,2
1,1,24,97,0,2
1,1,25,96,0,4
1,1,25,97,1,4
1,1,25,98,1,4
1,1,25,99,0,4
1,1,26,97,0,3
1,1,26,98,0,3
1,1,26,99,0,3
1,1,31,98,0,5
1,1,31,99,1,5
1,1,31,100,1,5
1,1,31,101,0,5
1,1,31,102,0,5
1,2,0,164,0,4
1,2,0,165,1,4
1,2,0,166,1,4
1,2,0,167,1,4
1,2,1,160,1,2
1,2,1,161,0,2
1,2,2,132,0,4
1,2,2,133,1,4
1,2,2,134,1,4
1,2,2,135,1,4
1,2,3,162,0,2
1,2,3,163,0,2
1,2,8,128,0,4
1,2,8,129,1,4
1,2,8,130,1,4
1,2,8,131,0,4
1,2,9,128,1,2
1,2,9,129,0,2
1,2,10,130,0,4
1,2,10,131,1,4
1,2,10,132,1,4
1,2,10,133,0,4
1,2,11,133,0,3
1,2,11,134,0,3
1,2,11,135,0,3
1,2,17,165,0,1
1,2,18,160,0,2
1,2,18,161,0,2
1,2,19,163,0,2
1,2,19,164,0,2
1,2,21,160,0,3
1,2,21,161,0,3
1,2,21,162,0,3
1,2,24,160,0,1
1,2,25,160,0,4
1,2,25,161,1,4
1,2,25,162,1,4
1,2,25,163,0,4
1,2,26,160,0,4
1,2,26,161,0,4
1,2,26,162,0,4
1,2,26,163,0,4
1,2,29,160,0,1
1,2,31,162,0,4
1,2,31,163,1,4
1,2,31,164,1,4
1,2,31,165,0,4
1,3,0,228,0,4
1,3,0,229,1,4
1,3,0,230,1,4
1,3,0,231,1,4
1,3,1,224,0,2
1,3,1,225,0,2
1,3,2,196,0,4
1,3,2,197,1,4
1,3,2,198,1,4
1,3,2,199,1,4
1,3,4,229,0,3
1,3,4,230,0,3
1,3,4,231,0,3
1,3,5,192,0,4
1,3,5,193,0,4
1,3,5,194,0,4
1,3,5,195,0,4
1,3,8,193,0,3
1,3,8,194,1,3
1,3,8,195,0,3
1,3,9,192,1,3
1,3,9,193,1,3
1,3,9,194,0,3
1,3,10,194,0,4
1,3,10,195,1,4
1,3,10,196,1,4
1,3,10,197,0,4
1,3,11,197,0,3
1,3,11,198,0,3
1,3,11,199,0,3
1,3,12,197,0,3
1,3,12,198,0,3
1,3,12,199,0,3
1,3,13,194,0,5
1,3,13,195,0,5
1,3,13,196,0,5
1,3,13,197,0,5
1,3,13,198,0,5
1,3,18,224,0,1
1,3,19,227,0,2
