time,balance
15.8065,1.39401
24.7111,1.74061
28.5403,2.20149
32.3931,1.62467
35.4557,1.57314
38.404,1.65465
41.8192,1.45776
44.2505,1.70329
47.2406,1.60152
49.2826,1.48184
51.0597,1.53814
53.22,1.49795
54.8679,1.62713
56.602,1.45255
57.8591,1.45249
59.1461,1.60854
60.6183,1.41368
61.8278,1.69445
62.924,1.45373
64.0137,1.68914
64.9261,1.37149
65.9249,1.55478
66.8394,1.53322
67.7228,1.47908
68.5158,1.30724
69.5486,1.36538
70.7237,1.33831
71.6128,1.29971
72.9445,1.37147
74.1297,1.76434
75.2277,1.55106
75.8711,1.45449
77.3778,1.54594
78.2859,1.3985
79.3355,1.45306
80.1215,1.38653
80.8386,1.32719
81.559,1.58815
82.5519,1.54177
83.4912,1.52833
84.6822,1.7173
85.5447,1.35231
86.5985,1.49256
87.7358,1.51258
87.8196,1.54294
87.8967,1.568
87.9563,1.48197
88.0152,1.46886
88.0682,1.38271
88.1136,1.56865
88.1574,1.34142
88.2085,1.73137
88.2547,1.45686
88.289,2.61089
88.3327,1.89073
88.3791,1.94398
88.4123,1.56799
88.4424,1.59773
88.4699,1.54737
88.4949,1.51355
88.5158,1.75506
88.5348,1.82474
88.559,1.96096
88.5747,1.48091
88.5898,1.52878
88.6099,1.91194
88.6234,1.81641
88.6362,1.70086
88.6484,1.70926
88.6609,1.82373
88.6714,1.67619
88.6801,1.72079
88.6879,1.89285
88.6954,1.56763
88.7022,1.63749
88.7126,2.22676
88.7188,1.78044
88.7254,1.8495
88.732,1.97806
88.7373,2.05422
88.7432,1.82759
88.748,2.34003
88.7522,2.51277
88.7594,1.94523
88.7624,1.89866
88.7661,1.94772
88.7691,1.74118
88.7718,2.13833
88.7768,2.22064
88.7813,2.44227
88.7848,2.53593
88.7877,2.2282
88.7909,1.67434
88.7933,2.30065
88.7951,2.5364
88.7967,3.45221
88.7985,2.63726
88.801,2.68923
88.8029,2.89286
88.8047,3.35041
88.8059,2.69263
88.8079,3.0872
88.8094,2.53307
88.8106,3.2428
88.8123,3.22305
88.8134,3.11432
88.8144,3.055
88.8156,3.2867
88.8165,4.00497
88.818,3.14672
88.8188,2.68743
88.8196,3.77369
88.8203,2.41663
88.8216,6.27818
88.8226,4.8344
88.824,4.64665
88.8246,4.82438
88.8251,6.00944
88.8257,5.19911
88.8262,5.84502
88.8275,5.74689
88.8281,7.79565
88.8285,3.84192
88.8291,8.25453
88.8295,4.13714
88.8302,6.11355
88.8306,4.73638
88.8311,10.3208
88.8315,6.9489
88.8319,5.57143
88.8323,7.71234
88.8327,7.11111
88.833,7.39515
88.8335,11.6605
88.8338,7.88254
88.8342,7.59618
88.8346,6.38109
88.8349,7.71014
88.8352,7.31741
88.8355,8.62799
88.8358,10.5244
88.8362,14.5882
88.8365,15.3123
88.8367,12.649
88.837,14.9196
88.8374,18.3022
88.8377,16.1026
88.838,20.0176
88.8383,22.72
88.8386,21.0841
88.8389,23.6444
88.8391,16.5603
88.8394,16.8157
88.8397,26.4348
88.84,25.3333
88.8403,28.7785
88.8406,27.5159
88.8409,29.5556
88.8411,31.0519
88.8414,31.5259
88.8417,32
88.842,32
88.8423,32
88.8426,32
88.8428,32
88.8431,32
88.8434,32
88.8436,32
88.8439,32
88.8442,32
88.8444,32
88.8447,32
88.845,32
88.8453,32
88.8456,32
88.8458,32
88.8461,32
88.8464,32
88.8467,32
88.8469,32
88.8472,32
88.8475,32
88.8478,32
88.8481,32
88.8483,32
88.8486,32
88.8489,32
88.8492,32
88.8495,32
88.8497,32
88.85,32
88.8503,32
88.8506,32
88.8508,32
88.8511,32
88.8514,32
88.8517,32
88.8519,32
88.8522,32
88.8525,32
88.8528,32
88.8531,32
88.8533,32
88.8536,32
88.8539,32
88.8542,32
88.8545,32
88.8548,32
88.855,32
88.8553,32
88.8556,32
88.8558,32
88.8561,32
88.8564,32
88.8567,32
88.8569,32
88.8572,32
88.8575,32
88.8577,32
88.858,32
88.8583,32
88.8585,32
88.8588,32
88.859,32
88.8593,32
88.8595,32
88.8597,32
88.8599,32
88.8601,32
88.8603,32
88.8603,-1.05472e-34
