round,source,target,count,value
1,0,0,3,4559
1,0,1,4,2351
1,0,2,4,4177
1,0,3,0,0
1,0,4,0,0
1,0,5,0,0
1,0,6,0,13
1,0,7,3,3120
1,0,8,0,0
1,0,9,0,0
1,0,10,0,0
1,0,11,0,0
1,0,12,0,0
1,0,13,0,0
1,0,14,0,0
1,0,15,0,0
1,0,16,1,1259
1,0,17,5,5604
1,0,18,2,2044
1,0,19,0,0
1,0,20,0,0
1,0,21,0,0
1,0,22,0,0
1,0,23,0,0
1,0,24,0,0
1,0,25,0,0
1,0,26,0,0
1,0,27,0,0
1,0,28,0,0
1,0,29,0,0
1,0,30,0,0
1,0,31,0,0
1,0,32,3,1117
1,0,33,5,905
1,0,34,0,0
1,0,35,0,0
1,0,36,0,0
1,0,37,0,0
1,0,38,0,0
1,0,39,0,0
1,0,40,0,0
1,0,41,0,0
1,0,42,0,0
1,0,43,0,0
1,0,44,0,0
1,0,45,0,0
1,0,46,0,0
1,0,47,0,0
1,0,48,3,1949
1,0,49,0,0
1,0,50,0,0
1,0,51,0,0
1,0,52,4,579
1,0,53,0,0
1,0,54,0,0
1,0,55,0,0
1,0,56,0,0
1,0,57,0,0
1,0,58,0,0
1,0,59,0,0
1,0,60,0,0
1,0,61,0,0
1,0,62,0,0
1,0,63,5,4479
1,1,0,3,2326
1,1,1,4,3766
1,1,2,4,4395
1,1,3,0,755
1,1,4,0,0
1,1,5,2,4
1,1,6,1,2522
1,1,7,4,1054
1,1,8,0,0
1,1,9,0,0
1,1,10,0,0
1,1,11,0,0
1,1,12,0,0
1,1,13,0,0
1,1,14,0,0
1,1,15,0,0
1,1,16,2,1436
1,1,17,4,5523
1,1,18,3,2569
1,1,19,3,2
1,1,20,2,1284
1,1,21,0,0
1,1,22,0,0
1,1,23,0,0
1,1,24,0,0
1,1,25,0,0
1,1,26,0,0
1,1,27,0,0
1,1,28,0,0
1,1,29,0,0
1,1,30,0,0
1,1,31,0,0
1,1,32,2,73
1,1,33,4,718
1,1,34,0,0
1,1,35,0,0
1,1,36,0,0
1,1,37,0,0
1,1,38,1,1
1,1,39,0,0
1,1,40,0,0
1,1,41,0,0
1,1,42,0,0
1,1,43,0,0
1,1,44,0,0
1,1,45,0,0
1,1,46,0,0
1,1,47,0,0
1,1,48,3,2467
1,1,49,0,0
1,1,50,0,0
1,1,51,0,0
1,1,52,3,1577
1,1,53,2,7
1,1,54,0,0
1,1,55,0,0
1,1,56,0,0
1,1,57,0,0
1,1,58,0,0
1,1,59,0,0
1,1,60,0,0
1,1,61,0,0
1,1,62,0,0
1,1,63,4,1924
1,2,0,3,2081
1,2,1,4,5698
1,2,2,4,855
1,2,3,3,4705
1,2,4,2,9
1,2,5,2,733
1,2,6,4,3812
1,2,7,3,272
1,2,8,0,0
1,2,9,0,0
1,2,10,0,0
1,2,11,0,0
1,2,12,0,0
1,2,13,0,0
1,2,14,0,0
1,2,15,0,0
1,2,16,2,993
1,2,17,4,3640
1,2,18,3,2530
1,2,19,4,135
1,2,20,4,835
1,2,21,1,797
1,2,22,1,2495
