round,name,count,localCount,workload,estWorkload,npts,nfdpts
1,0,16,16,265500,-1,32768,612
1,1,16,16,158799,-1,32768,365
1,2,16,16,149376,-1,32768,268
1,3,16,16,130964,-1,32768,272
1,4,16,16,126393,-1,32768,211
1,5,16,16,126093,-1,32768,284
1,6,16,16,122926,-1,32768,272
1,7,16,16,115935,-1,32768,450
1,8,16,16,113375,-1,32768,314
1,9,16,16,114136,-1,32768,298
1,10,16,16,116733,-1,32768,328
1,11,16,16,119273,-1,32768,257
1,12,16,16,123038,-1,32768,320
1,13,16,16,128855,-1,32768,718
1,14,16,16,130721,-1,32768,1052
1,15,16,16,159575,-1,32768,8632
1,16,16,16,232794,-1,32768,488
1,17,16,16,148452,-1,32768,236
1,18,16,16,148197,-1,32768,261
1,19,16,16,158916,-1,32768,218
1,20,16,16,154255,-1,32768,247
1,21,16,16,143638,-1,32768,245
1,22,16,16,136693,-1,32768,267
1,23,16,16,131973,-1,32768,273
1,24,16,16,132474,-1,32768,276
1,25,16,16,138498,-1,32768,248
1,26,16,16,141011,-1,32768,232
1,27,16,16,144189,-1,32768,236
1,28,16,16,146810,-1,32768,278
1,29,16,16,151624,-1,32768,254
1,30,16,16,132464,-1,32768,383
1,31,16,16,132177,-1,32768,6392
1,32,16,16,253418,-1,32768,516
1,33,16,16,162231,-1,32768,222
1,34,16,16,154499,-1,32768,325
1,35,16,16,157810,-1,32768,252
1,36,16,16,155110,-1,32768,260
1,37,16,16,151954,-1,32768,264
1,38,16,16,148773,-1,32768,268
1,39,16,16,153746,-1,32768,285
1,40,16,16,162228,-1,32768,235
1,41,16,16,162655,-1,32768,218
1,42,16,16,162407,-1,32768,308
1,43,16,16,158707,-1,32768,259
1,44,16,16,154634,-1,32768,285
1,45,16,16,150429,-1,32768,302
1,46,16,16,131419,-1,32768,625
1,47,16,16,131049,-1,32768,4948
1,48,16,16,282098,-1,32768,1049
1,49,16,16,176815,-1,32768,293
1,50,16,16,164730,-1,32768,237
1,51,16,16,155955,-1,32768,251
1,52,16,16,146540,-1,32768,238
1,53,16,16,140428,-1,32768,305
1,54,16,16,136674,-1,32768,331
1,55,16,16,126733,-1,32768,953
1,56,16,16,125137,-1,32768,664
1,57,16,16,130469,-1,32768,329
1,58,16,16,123892,-1,32768,544
1,59,16,16,132282,-1,32768,593
1,60,16,16,135285,-1,32768,554
1,61,16,16,138079,-1,32768,887
1,62,16,16,118747,-1,32768,1680
1,63,16,16,146511,-1,32768,7838
2,0,32,9,4.22002e+06,286333,18931,2180
2,1,46,16,4.25048e+06,293628,28873,2295
2,2,72,25,2.83926e+06,289036,44273,2371
2,3,105,29,338100,299415,57967,498
2,4,47,16,2.69171e+06,280027,32293,1362
2,5,47,14,3.35131e+06,284846,28150,1929
2,6,106,23,334410,282854,48243,0
2,7,43,10,1.90367e+06,298517,24970,784
2,8,56,17,3.47686e+06,283804,33747,1852
2,9,91,24,354876,282404,50372,0
2,10,38,14,4.05927e+06,287808,32232,2640
2,11,46,16,4.25202e+06,291000,31503,3465
2,12,50,18,3.76451e+06,291000,42388,2490
2,13,81,27,681353,293812,51478,9191
2,14,45,18,3.1536e+06,274898,34827,5179
2,15,22,12,4.88462e+06,285691,25373,4269
2,16,32,7,2.89734e+06,279595,15006,1481
2,17,38,11,4.98272e+06,293292,22753,2460
2,18,35,10,4.98626e+06,293777,19253,2403
2,19,53,15,3.02098e+06,300467,28958,1401
2,20,54,15,2.41869e+06,289753,29493,1081
2,21,42,10,3.0318e+06,279664,20738,1612
2,22,76,18,325493,289591,35061,1
2,23,73,14,345505,286893,29286,1
2,24,59,18,2.30354e+06,295680,33617,1110
2,25,82,20,358171,288820,44740,0
2,26,76,13,333102,282524,24995,0
2,27,61,14,2.14096e+06,292492,27459,924
2,28,53,13,2.57739e+06,289295,25294,1279
2,29,48,16,1.99593e+06,277330,37105,10722
2,30,21,5,3.75543e+06,277816,10427,1730
2,31,65,17,1.67714e+06,296760,36473,8426
2,32,44,10,3.41266e+06,282060,22664,1584
2,33,64,18,3.81578e+06,288557,31520,2482
2,34,46,18,4.93451e+06,279077,31106,3389
2,35,70,16,372093,298598,36453,8
2,36,87,20,364527,297474,42157,226
2,37,55,21,2.74776e+06,289364,40363,1526
2,38,78,15,340807,267722,29933,0
2,39,86,19,349472,290598,37060,378
2,40,62,20,1.98546e+06,283228,42579,1368
2,41,58,16,1.39172e+06,284754,30420,1068
2,42,63,17,1.40954e+06,286153,30409,657
2,43,64,16,1.78405e+06,290904,30012,958
2,44,83,18,897649,290320,33724,819
2,45,73,25,714345,291299,47324,6570
2,46,46,22,2.47764e+06,285373,40971,6395
2,47,40,14,2.87138e+06,295583,31602,9030
2,48,42,11,3.38033e+06,281887,19572,1709
2,49,41,11,3.67997e+06,288518,22597,1719
2,50,44,10,3.96083e+06,296273,19184,1872
2,51,62,16,2.11247e+06,281570,33968,1299
2,52,59,13,1.34788e+06,290827,24441,523
2,53,69,15,1.89923e+06,279569,26774,843
2,54,29,7,3.19366e+06,303517,14526,2390
2,55,78,18,1.71816e+06,283117,35502,876
2,56,96,26,322899,286123,49311,594
2,57,46,15,3.13193e+06,287062,29946,2989
2,58,91,20,900116,286693,37737,857
2,59,58,17,2.09258e+06,296483,30673,1705
2,60,66,15,1.17841e+06,284033,30042,1053
2,61,24,14,4.42532e+06,288182,32656,11587
2,62,51,15,2.41622e+06,285104,28252,2897
2,63,40,12,3.2931e+06,291270,25891,1528
3,0,44,11,441919,1.63391e+06,21673,59
3,1,19,5,261516,1.34974e+06,6834,251
3,2,38,8,338990,1.49387e+06,13499,275
3,3,139,50,591433,1.39109e+06,78523,1203
3,4,43,13,368487,1.56142e+06,22110,399
3,5,31,7,332534,1.30309e+06,13726,446
3,6,163,48,923658,1.46347e+06,106034,40
3,7,25,5,946953,1.37918e+06,12134,529
3,8,62,10,537052,1.44943e+06,19772,135
3,9,12,3,746000,1.35018e+06,4502,346
3,10,36,8,278855,1.38083e+06,18123,24
3,11,46,12,291684,1.3553e+06,20679,834
3,12,54,16,438653,1.34025e+06,43574,499
3,13,146,53,787175,1.41307e+06,94332,3517
3,14,57,20,337988,1.46022e+06,33125,2664
3,15,27,8,338963,1.39069e+06,10898,304
3,16,26,5,321333,1.47831e+06,10359,89
3,17,20,4,560837,1.6491e+06,7011,330
3,18,28,7,268463,1.36197e+06,6503,91
3,19,48,10,256454,1.36715e+06,13890,85
3,20,24,5,231051,1.35985e+06,8288,82
3,21,51,13,341720,1.43003e+06,18653,396
3,22,42,9,219589,1.43075e+06,15261,121
3,23,54,15,304491,1.5145e+06,27651,180
3,24,109,30,1.04295e+06,1.40132e+06,51185,526
3,25,33,7,340450,1.29053e+06,10951,121
3,26,79,20,616440,1.46343e+06,35273,202
3,27,60,13,308968,1.4272e+06,23754,33
3,28,50,11,313023,1.40473e+06,16382,207
3,29,46,13,332844,1.48181e+06,31408,12349
3,30,20,5,345516,1.34484e+06,12290,703
3,31,29,8,388264,1.34729e+06,21618,12789
3,32,23,4,227101,1.43073e+06,9084,74
3,33,18,5,321916,1.54599e+06,12986,414
3,34,40,11,148045,1.338e+06,19166,98
3,35,101,29,722321,1.25657e+06,57673,38
3,36,91,31,655660,1.38035e+06,58373,368
3,37,109,33,413912,1.33904e+06,46172,431
3,38,109,29,802745,1.4502e+06,56401,68
3,39,14,5,705691,1.48254e+06,9068,1846
3,40,38,10,216143,1.4206e+06,22137,287
3,41,79,19,652585,1.42561e+06,40955,252
3,42,66,17,380646,1.37575e+06,28300,792
3,43,55,10,478651,1.35219e+06,20190,1049
3,44,164,45,940103,1.42677e+06,91456,552
3,45,208,87,1.03601e+06,1.41322e+06,169149,12197
3,46,38,10,400349,1.43557e+06,20953,1408
3,47,23,7,641029,1.41124e+06,18091,6926
3,48,22,5,609212,1.73673e+06,9600,301
3,49,30,9,945104,1.43022e+06,17735,1736
3,50,53,13,303610,1.34114e+06,26753,176
3,51,116,35,761933,1.44146e+06,67809,257
3,52,30,8,398796,1.50942e+06,10954,128
3,53,45,9,910860,1.47995e+06,15254,476
3,54,31,6,606778,1.22242e+06,8912,295
3,55,29,8,247629,1.46289e+06,9915,702
3,56,29,11,502513,1.54828e+06,18286,3235
3,57,36,8,268919,1.47227e+06,16465,465
3,58,181,54,908131,1.42364e+06,93177,441
3,59,37,15,265392,1.47539e+06,25233,2082
3,60,47,11,410416,1.41001e+06,22361,2936
3,61,11,4,741269,1.32329e+06,8094,3353
3,62,44,16,406967,1.47151e+06,24379,1050
3,63,37,8,175040,1.41459e+06,14516,1250
4,0,26,6,540157,977102,14008,1029
4,1,32,10,176737,1.00029e+06,12738,150
4,2,30,7,230155,935571,9797,196
4,3,151,61,499209,977828,74753,639
4,4,27,7,198650,1.01038e+06,6972,45
4,5,50,15,333725,1.08874e+06,22635,133
4,6,125,35,776032,1.04837e+06,86331,31
4,7,25,4,933246,971747,9029,549
4,8,30,6,402510,961601,8703,169
4,9,26,5,330118,1.04815e+06,8401,86
4,10,52,12,290935,938649,20221,12
4,11,64,15,355018,990398,31839,272
4,12,87,26,705332,1.04643e+06,64451,475
4,13,79,16,792401,1.00277e+06,33581,283
4,14,78,29,449766,954987,49551,2788
4,15,44,13,315790,969885,14242,268
4,16,29,5,228109,928165,9715,44
4,17,21,4,248239,989728,7907,137
4,18,43,10,348765,1.00745e+06,25262,8738
4,19,87,20,461447,963542,36773,39
4,20,28,6,414964,955131,9964,182
4,21,53,15,322392,1.02435e+06,18683,283
4,22,85,27,561508,1.0121e+06,46981,319
4,23,60,14,255541,997265,21645,64
4,24,91,25,879364,960744,48397,542
4,25,37,10,342736,1.00261e+06,14100,100
