time,balance
1.70442,1.39401
10.4736,1.74061
15.2376,2.20149
18.5126,1.62467
21.3968,1.57314
24.0016,1.65465
26.7316,1.45776
29.3661,1.70329
31.8814,1.60152
33.9645,1.48184
36.0194,1.53814
38.1938,1.49795
40.1647,1.62713
42.0624,1.45255
43.4695,1.45249
45.098,1.60854
46.5924,1.41368
47.9618,1.69445
49.0367,1.45373
50.0506,1.68914
51.0597,1.37149
52.1957,1.55478
53.1257,1.53322
54.145,1.47908
54.9797,1.30724
56.1607,1.36538
57.5224,1.33831
58.544,1.29971
59.9279,1.37147
61.1654,1.76434
62.3127,1.55106
63.0095,1.45449
64.6806,1.54594
65.6197,1.3985
66.7146,1.45306
67.502,1.38653
68.2954,1.32719
68.9895,1.58815
70.1265,1.54177
71.0913,1.52833
72.1861,1.7173
73.0773,1.35231
74.1132,1.49256
75.0011,1.51258
75.0832,1.54294
75.1484,1.568
75.2143,1.48197
75.2722,1.46886
75.3263,1.38271
75.3781,1.56865
75.4266,1.34142
75.4763,1.73137
75.5133,1.45686
75.5491,2.61089
75.5913,1.89073
75.6319,1.94398
75.6641,1.56799
75.6902,1.59773
75.7149,1.54737
75.74,1.51355
75.7606,1.75506
75.7815,1.82474
75.8067,1.96096
75.8222,1.48091
75.839,1.52878
75.8546,1.91194
75.8735,1.81641
75.8859,1.70086
75.8975,1.70926
75.9084,1.82373
75.92,1.67619
75.9285,1.72079
75.9401,1.89285
75.9478,1.56763
75.9539,1.63749
75.9619,2.22676
75.9689,1.78044
75.9753,1.8495
75.9823,1.97806
75.9876,2.05422
75.9923,1.82759
75.9978,2.34003
76.0021,2.51277
76.0078,1.94523
76.0109,1.89866
76.0152,1.94772
76.018,1.74118
76.0209,2.13833
76.025,2.22064
76.0287,2.44227
76.032,2.53593
76.035,2.2282
76.0384,1.67434
76.0402,2.30065
76.0429,2.5364
76.0446,3.45221
76.0464,2.63726
76.0498,2.68923
76.052,2.89286
76.0533,3.35041
76.0546,2.69263
76.0566,3.0872
76.0583,2.53307
76.0596,3.2428
76.0614,3.22305
76.0626,3.11432
76.0639,3.055
76.0652,3.2867
76.0664,4.00497
76.0681,3.14672
76.0688,2.68743
76.0697,3.77369
76.0704,2.41663
76.0717,6.27818
76.0725,4.8344
76.0739,4.64665
76.0748,4.82438
76.0754,6.00944
76.0759,5.19911
76.0764,5.84502
76.0775,5.74689
76.0783,7.79565
76.0788,3.84192
76.0797,8.25453
76.0801,4.13714
76.0808,6.11355
76.0812,4.73638
76.0817,10.3208
76.0821,6.9489
76.0825,5.57143
76.083,7.71234
76.0834,7.11111
76.0838,7.39515
76.0844,11.6605
76.0848,7.88254
76.0853,7.59618
76.0856,6.38109
76.086,7.71014
76.0863,7.31741
76.0868,8.62799
76.0872,10.5244
76.0876,14.5882
76.088,15.3123
76.0884,12.649
76.0888,14.9196
76.0892,18.3022
76.0896,16.1026
76.0899,20.0176
76.0903,22.72
76.0907,21.0841
76.091,23.6444
76.0914,16.5603
76.0917,16.8157
76.0921,26.4348
76.0924,25.3333
76.0928,28.7785
76.0931,27.5159
76.0935,29.5556
76.0938,31.0519
76.0942,31.5259
76.0945,32
76.0949,32
76.0952,32
76.0956,32
76.0959,32
76.0962,32
76.0966,32
76.0969,32
76.0973,32
76.0976,32
76.098,32
76.0983,32
76.0986,32
76.099,32
76.0992,32
76.0995,32
76.0998,32
76.1,32
76.1003,32
76.1006,32
76.1008,32
76.1011,32
76.1014,32
76.1017,32
76.1019,32
76.1022,32
76.1025,32
76.1028,32
76.1031,32
76.1033,32
76.1036,32
76.1039,32
76.1041,32
76.1044,32
76.1047,32
76.1049,32
76.1052,32
76.1055,32
76.1058,32
76.106,32
76.1063,32
76.1066,32
76.1069,32
76.1071,32
76.1074,32
76.1077,32
76.1079,32
76.1082,32
76.1085,32
76.1088,32
76.109,32
76.1093,32
76.1095,32
76.1098,32
76.1101,32
76.1103,32
76.1106,32
76.1109,32
76.1111,32
76.1114,32
76.1117,32
76.1119,32
76.1122,32
76.1124,32
76.1126,32
76.1128,32
76.113,32
76.1132,32
76.1134,32
76.1136,32
76.1136,-1.05472e-34
