round,source,target,count,value
1,0,0,4,9905
1,0,1,0,0
1,0,2,4,3514
1,0,3,4,4046
1,0,4,0,0
1,0,5,0,0
1,0,6,0,0
1,0,7,0,0
1,0,8,4,9351
1,0,9,2,3588
1,0,10,5,7844
1,0,11,2,2181
1,0,12,0,0
1,0,13,0,0
1,0,14,0,0
1,0,15,0,0
1,0,16,3,5753
1,0,17,1,29
1,0,18,3,3980
1,0,19,1,0
1,0,20,0,0
1,0,21,0,0
1,0,22,0,0
1,0,23,0,0
1,0,24,2,3381
1,0,25,3,2177
1,0,26,3,429
1,0,27,0,0
1,0,28,0,0
1,0,29,0,0
1,0,30,0,0
1,0,31,4,8172
1,1,0,4,10550
1,1,1,1,1203
1,1,2,4,9584
1,1,3,3,679
1,1,4,0,0
1,1,5,0,0
1,1,6,0,0
1,1,7,0,0
1,1,8,4,3794
1,1,9,3,8313
1,1,10,4,8915
1,1,11,1,1627
1,1,12,0,0
1,1,13,0,0
1,1,14,0,0
1,1,15,0,0
1,1,16,1,305
1,1,17,3,482
1,1,18,3,3108
1,1,19,2,3
1,1,20,0,0
1,1,21,0,0
1,1,22,0,0
1,1,23,0,0
1,1,24,2,1959
1,1,25,4,6309
1,1,26,3,828
1,1,27,0,0
1,1,28,0,0
1,1,29,0,0
1,1,30,0,0
1,1,31,5,7326
1,2,0,4,10785
1,2,1,2,2604
1,2,2,4,13042
1,2,3,2,0
1,2,4,0,226
1,2,5,0,0
1,2,6,0,0
1,2,7,0,0
1,2,8,4,4711
1,2,9,2,7263
1,2,10,4,6901
1,2,11,3,512
1,2,12,0,0
1,2,13,0,0
1,2,14,0,0
1,2,15,0,0
1,2,16,0,0
1,2,17,1,0
1,2,18,2,1071
1,2,19,2,3
1,2,20,0,2
1,2,21,3,3422
1,2,22,0,0
1,2,23,0,0
1,2,24,1,150
1,2,25,4,2737
1,2,26,4,1466
1,2,27,0,118
1,2,28,0,12
1,2,29,1,1955
1,2,30,0,0
1,2,31,4,7982
1,3,0,4,2405
1,3,1,2,629
1,3,2,4,11183
1,3,3,0,0
1,3,4,3,8137
1,3,5,4,324
1,3,6,0,0
1,3,7,0,0
1,3,8,3,5071
1,3,9,3,8018
1,3,10,4,5475
1,3,11,3,1385
1,3,12,3,296
1,3,13,5,767
1,3,14,0,0
1,3,15,0,0
1,3,16,0,0
1,3,17,0,0
1,3,18,1,1
1,3,19,2,121
1,3,20,1,99
1,3,21,4,6085
1,3,22,0,0
1,3,23,0,0
1,3,24,0,0
1,3,25,4,1116
1,3,26,3,226
1,3,27,3,6531
1,3,28,3,498
1,3,29,2,4853
1,3,30,0,0
1,3,31,4,1353
1,4,0,4,949
1,4,1,1,0
1,4,2,3,6701
1,4,3,0,0
1,4,4,4,9867
1,4,5,4,8313
1,4,6,0,0
1,4,7,0,0
1,4,8,2,1660
1,4,9,1,3883
1,4,10,3,4348
1,4,11,3,364
1,4,12,6,5192
1,4,13,5,2468
1,4,14,0,0
1,4,15,5,204
1,4,16,0,0
1,4,17,0,0
