time,balance
1.87065,1.89899
11.3745,2.11859
15.8225,2.12848
20.5065,2.05436
24.4305,1.85363
27.9945,2.06771
31.3625,2.03046
35.0945,1.86017
38.1705,1.83244
41.7585,2.02592
45.0345,1.91984
48.5145,1.78171
51.9425,2.05367
55.1145,1.54959
58.1625,1.70859
60.9585,1.63334
63.9585,1.76609
66.8825,1.48397
69.9105,1.67251
73.1985,1.7386
75.7505,1.68226
78.4545,1.78153
81.2465,1.59684
83.7705,1.59657
86.4665,1.80114
88.7745,1.73283
91.2825,1.60745
93.8145,1.78621
96.2745,1.64588
99.0705,1.67651
101.226,1.62794
103.606,1.55086
106.692,1.61247
109.342,1.73534
111.778,1.82702
114.058,1.73345
116.794,1.69901
119.146,1.92229
121.51,1.86916
124.726,1.87165
127.474,1.99226
129.982,2.09257
132.262,1.77863
134.962,1.74922
137.706,2.06948
140.074,1.99768
142.642,2.03358
145.342,1.99242
145.678,1.69611
146.014,1.75963
146.35,1.59793
146.694,1.67334
147.006,1.57438
147.298,1.99395
147.586,1.97359
147.85,1.49566
148.098,1.96332
148.342,1.84694
148.662,2.05605
149.002,1.71326
149.242,1.65417
149.53,1.92152
149.802,1.67686
150.098,1.91972
150.334,1.58157
150.599,1.99651
150.826,2.21463
151.102,1.9505
151.366,2.36336
151.63,2.32654
151.87,2.22777
152.134,1.96252
152.422,2.17237
152.686,2.16258
152.942,2.00459
153.238,2.10676
153.51,2.0355
153.75,1.80365
154.05,1.92907
154.294,2.29498
154.534,2.49972
154.774,2.75448
155.018,2.3479
155.29,2.77759
155.518,1.88821
155.71,2.4868
155.95,2.01637
156.142,2.43454
156.378,2.44829
156.574,1.92284
156.838,2.7159
157.09,2.184
157.306,2.08701
157.642,1.90803
157.87,2.51334
158.05,3.04291
158.278,3.00401
158.494,2.17131
158.722,2.4009
158.986,2.28093
159.178,2.76333
159.382,2.25685
159.658,3.4425
159.91,2.70662
160.09,2.66517
160.314,3.89437
160.536,2.85665
160.726,5.51239
160.978,2.69141
161.206,3.16104
161.43,3.00394
161.722,4.81621
161.995,3.74177
162.19,3.07275
162.467,4.57067
162.682,5.32244
162.934,4.28994
163.162,3.36684
163.366,3.16307
163.534,3.07622
163.75,2.83028
164.026,2.90698
164.254,4.24231
164.518,2.98398
164.746,4.10776
164.986,3.15069
165.27,7.89573
165.514,6.13603
165.726,3.79451
165.898,3.97106
166.098,4.83771
166.342,6.73429
166.57,4.21639
166.798,6.77858
167.002,4.83225
167.158,4.78949
167.362,4.873
167.554,5.25654
167.734,5.30312
167.974,4.89035
168.206,5.53959
168.442,6.0425
168.658,6.86233
168.886,7.14681
169.09,5.65889
169.294,7.17382
169.542,3.96158
169.739,3.52271
169.966,2.97379
170.134,3.94183
170.41,3.10574
170.638,8.33333
170.862,8.10841
171.086,4.49288
171.358,7.39035
171.528,7.43697
171.694,9.25984
171.862,9.81748
172.126,10.7911
172.343,4.12492
172.538,9.38272
172.798,11.1994
172.998,4.5778
173.214,13.1012
173.446,7.27649
173.646,17.52
173.822,5.49864
174.034,15.05
174.226,15.499
174.43,15.6848
174.61,14.7003
174.786,19.0171
174.986,8.44755
175.21,8.36298
175.378,8.49346
175.594,9.50303
175.774,20.5948
175.954,23.956
176.182,20.6874
176.386,11.0395
176.638,9.59639
176.818,24.6382
177.066,14.1474
177.254,22.1256
177.418,15.4483
177.635,15.5897
177.886,16.8889
178.09,18.2857
178.318,17.4545
178.522,18.2081
178.726,19.3289
178.986,16.6188
179.218,19.5152
179.434,20.1348
179.65,21.2315
179.818,26.1647
179.998,22.4223
180.202,24.0684
180.37,22.7368
180.598,22.5092
180.814,26.0741
180.97,28.0924
181.186,34.3529
181.414,34.1847
181.63,37.1255
181.834,45.4095
182.038,45.5323
182.314,45.3069
182.494,41.3945
182.674,46.4249
182.87,50.0559
183.046,47.8202
183.214,46.838
183.43,40.201
183.598,50.9554
183.814,48.3902
184.006,36.9908
184.222,55.4965
184.391,60.5538
184.618,58.7852
184.847,58.8235
185.034,58.7852
185.218,58.7852
185.454,58.8235
185.634,61.7544
185.866,62.439
186.15,64
186.31,64
186.538,64
186.714,64
186.894,64
187.126,64
187.138,5.60519e-45
