round,name,blockid,isLocal,count,localCount,wl,estWl
1,0,0,1,16,16,22632,0
1,0,1,1,16,16,23901,0
1,0,2,1,16,16,18460,0
1,0,3,1,16,16,21247,0
1,0,4,1,16,16,18037,0
1,0,5,1,16,16,15120,0
1,0,6,1,16,16,13948,0
1,0,7,1,16,16,18217,0
1,0,32,1,16,16,16843,0
1,0,33,1,16,16,19532,0
1,0,34,1,16,16,17933,0
1,0,35,1,16,16,19952,0
1,0,36,1,16,16,16399,0
1,0,37,1,16,16,7047,0
1,0,38,1,16,16,8653,0
1,0,39,1,16,16,13797,0
1,1,64,1,16,16,12989,0
1,1,65,1,16,16,14263,0
1,1,66,1,16,16,9927,0
1,1,67,1,16,16,10388,0
1,1,68,1,16,16,10230,0
1,1,69,1,16,16,11827,0
1,1,70,1,16,16,9917,0
1,1,71,1,16,16,9035,0
1,1,96,1,16,16,16561,0
1,1,97,1,16,16,13700,0
1,1,98,1,16,16,9119,0
1,1,99,1,16,16,9952,0
1,1,100,1,16,16,7808,0
1,1,101,1,16,16,3844,0
1,1,102,1,16,16,4203,0
1,1,103,1,16,16,6574,0
1,2,128,1,16,16,12499,0
1,2,129,1,16,16,13577,0
1,2,130,1,16,16,9238,0
1,2,131,1,16,16,8739,0
1,2,132,1,16,16,9043,0
1,2,133,1,16,16,12221,0
1,2,134,1,16,16,9630,0
1,2,135,1,16,16,7246,0
1,2,160,1,16,16,20978,0
1,2,161,1,16,16,11015,0
1,2,162,1,16,16,8053,0
1,2,163,1,16,16,7024,0
1,2,164,1,16,16,8099,0
1,2,165,1,16,16,4678,0
1,2,166,1,16,16,3565,0
1,2,167,1,16,16,5438,0
1,3,192,1,16,16,12073,0
1,3,193,1,16,16,12235,0
1,3,194,1,16,16,7934,0
1,3,195,1,16,16,9065,0
1,3,196,1,16,16,8923,0
1,3,197,1,16,16,8502,0
1,3,198,1,16,16,9933,0
1,3,199,1,16,16,6832,0
1,3,224,1,16,16,14980,0
1,3,225,1,16,16,9565,0
1,3,226,1,16,16,6751,0
1,3,227,1,16,16,5516,0
1,3,228,1,16,16,7409,0
1,3,229,1,16,16,3812,0
1,3,230,1,16,16,3839,0
1,3,231,1,16,16,4864,0
1,4,256,1,16,16,10778,0
1,4,257,1,16,16,9075,0
