round,source,target,blockid,isLocal,count
1,0,0,1,1,3
1,0,0,2,1,3
1,0,0,3,0,3
1,0,1,4,0,4
1,0,1,5,0,4
1,0,1,6,1,4
1,0,1,7,1,4
1,0,2,36,0,4
1,0,2,37,0,4
1,0,2,38,1,4
1,0,2,39,1,4
1,0,7,32,0,3
1,0,7,33,1,3
1,0,7,34,1,3
1,0,16,32,0,1
1,0,17,2,0,5
1,0,17,3,1,5
1,0,17,4,1,5
1,0,17,5,1,5
1,0,17,6,0,5
1,0,18,0,1,2
1,0,18,1,0,2
1,0,32,34,0,3
1,0,32,35,0,3
1,0,32,36,0,3
1,0,33,6,0,5
1,0,33,7,0,5
1,0,33,37,0,5
1,0,33,38,0,5
1,0,33,39,0,5
1,0,48,32,1,3
1,0,48,33,0,3
1,0,48,34,0,3
1,0,52,32,0,4
1,0,52,33,0,4
1,0,52,34,0,4
1,0,52,35,0,4
1,0,63,34,0,5
1,0,63,35,1,5
1,0,63,36,1,5
1,0,63,37,1,5
1,0,63,38,0,5
1,1,0,65,0,3
1,1,0,66,1,3
1,1,0,67,0,3
1,1,1,68,0,4
1,1,1,69,1,4
1,1,1,70,1,4
1,1,1,71,1,4
1,1,2,100,0,4
1,1,2,101,1,4
1,1,2,102,1,4
1,1,2,103,1,4
1,1,5,64,0,2
1,1,5,65,0,2
1,1,6,100,0,1
1,1,7,96,0,4
1,1,7,97,0,4
1,1,7,98,1,4
1,1,7,99,0,4
1,1,16,96,0,2
1,1,16,97,0,2
1,1,17,66,0,4
1,1,17,67,1,4
1,1,17,68,1,4
1,1,17,69,0,4
1,1,18,64,1,3
1,1,18,65,1,3
1,1,18,66,0,3
1,1,19,66,0,3
1,1,19,67,0,3
1,1,19,68,0,3
1,1,20,64,0,2
1,1,20,65,0,2
1,1,32,99,0,2
1,1,32,100,0,2
1,1,33,70,0,4
1,1,33,101,0,4
1,1,33,102,0,4
1,1,33,103,0,4
1,1,38,67,0,1
1,1,48,96,1,3
1,1,48,97,1,3
1,1,48,98,0,3
1,1,52,97,0,3
1,1,52,98,0,3
1,1,52,99,0,3
1,1,53,96,0,2
1,1,53,97,0,2
1,1,63,98,0,4
1,1,63,99,1,4
1,1,63,100,1,4
1,1,63,101,0,4
1,2,0,129,0,3
1,2,0,130,1,3
1,2,0,131,0,3
1,2,1,132,0,4
1,2,1,133,1,4
1,2,1,134,1,4
1,2,1,135,1,4
1,2,2,164,0,4
1,2,2,165,1,4
1,2,2,166,1,4
1,2,2,167,1,4
1,2,3,164,0,3
1,2,3,165,0,3
1,2,3,167,0,3
1,2,4,133,0,2
1,2,4,134,0,2
1,2,5,128,1,2
1,2,5,129,0,2
1,2,6,162,0,4
1,2,6,163,1,4
1,2,6,164,1,4
1,2,6,165,0,4
1,2,7,161,0,3
1,2,7,162,0,3
1,2,7,163,0,3
1,2,16,160,1,2
1,2,16,161,0,2
1,2,17,130,0,4
1,2,17,131,0,4
1,2,17,132,1,4
1,2,17,133,0,4
1,2,18,128,0,3
1,2,18,129,0,3
1,2,18,130,0,3
1,2,19,130,0,4
1,2,19,131,1,4
1,2,19,132,0,4
1,2,19,133,0,4
1,2,20,128,0,4
1,2,20,129,1,4
1,2,20,130,0,4
1,2,20,131,0,4
1,2,21,160,0,1
1,2,22,161,0,1
1,2,33,165,0,2
1,2,33,166,0,2
1,2,35,161,0,1
1,2,38,130,0,3
1,2,38,131,0,3
1,2,38,132,0,3
1,2,48,160,0,3
1,2,48,161,1,3
1,2,48,162,0,3
1,2,52,161,0,3
1,2,52,162,1,3
1,2,52,163,0,3
1,2,53,160,0,3
1,2,53,161,0,3
1,2,53,162,0,3
1,2,55,164,0,1
1,2,63,162,0,4
1,2,63,163,0,4
1,2,63,164,0,4
1,2,63,165,0,4
1,3,0,194,0,1
1,3,1,197,0,3
1,3,1,198,1,3
1,3,1,199,1,3
1,3,2,228,0,4
1,3,2,229,0,4
1,3,2,230,0,4
1,3,2,231,0,4
1,3,3,228,0,4
1,3,3,229,1,4
1,3,3,230,1,4
1,3,3,231,1,4
1,3,4,197,1,3
1,3,4,198,0,3
1,3,4,199,0,3
1,3,5,192,1,2
1,3,5,193,0,2
1,3,6,226,0,4
1,3,6,227,1,4
1,3,6,228,1,4
1,3,6,229,0,4
1,3,7,226,0,2
1,3,7,227,0,2
1,3,16,224,0,1
1,3,19,195,1,3
1,3,19,196,1,3
1,3,19,197,0,3
1,3,20,192,0,4
1,3,20,193,1,4
1,3,20,194,1,4
1,3,20,195,0,4
1,3,21,224,1,2
1,3,21,225,0,2
1,3,22,224,0,4
1,3,22,225,1,4
1,3,22,226,1,4
1,3,22,227,0,4
1,3,35,225,0,3
1,3,35,226,0,3
1,3,35,227,0,3
1,3,38,195,0,2
1,3,38,196,0,2
1,3,48,224,0,2
1,3,48,225,0,2
1,3,52,225,0,3
1,3,52,226,0,3
1,3,52,227,0,3
1,3,53,224,0,3
1,3,53,225,0,3
1,3,53,226,0,3
1,3,55,227,0,2
1,3,55,228,0,2
1,4,1,262,0,1
1,4,2,293,0,2
1,4,2,294,0,2
1,4,3,292,0,4
1,4,3,293,1,4
1,4,3,294,1,4
1,4,3,295,1,4
1,4,4,260,0,4
1,4,4,261,1,4
1,4,4,262,1,4
1,4,4,263,1,4
1,4,5,256,1,2
1,4,5,257,0,2
1,4,6,290,0,4
1,4,6,291,1,4
1,4,6,292,1,4
1,4,6,293,0,4
1,4,16,288,0,1
1,4,19,258,0,4
1,4,19,259,1,4
1,4,19,260,1,4
1,4,19,261,0,4
1,4,20,256,0,4
1,4,20,257,1,4
1,4,20,258,1,4
1,4,20,259,0,4
1,4,21,288,1,2
1,4,21,289,0,2
1,4,22,288,0,4
1,4,22,289,1,4
1,4,22,290,1,4
1,4,22,291,0,4
1,4,35,289,0,3
1,4,35,290,0,3
1,4,35,291,0,3
1,4,38,259,0,2
1,4,38,260,0,2
1,4,52,290,0,2
1,4,52,291,0,2
1,4,53,288,0,3
1,4,53,289,0,3
1,4,53,290,0,3
1,4,55,291,0,2
1,4,55,292,0,2
1,5,3,356,0,4
1,5,3,357,1,4
1,5,3,358,1,4
1,5,3,359,1,4
1,5,4,324,0,4
1,5,4,325,1,4
1,5,4,326,1,4
1,5,4,327,1,4
1,5,5,320,1,2
1,5,5,321,1,2
1,5,6,354,0,4
1,5,6,355,1,4
1,5,6,356,1,4
1,5,6,357,0,4
1,5,19,322,0,5
1,5,19,323,1,5
1,5,19,324,1,5
1,5,19,325,0,5
1,5,19,326,0,5
1,5,20,320,0,4
1,5,20,321,0,4
1,5,20,322,1,4
1,5,20,323,0,4
1,5,21,352,1,2
1,5,21,353,0,2
1,5,22,352,0,4
1,5,22,353,1,4
1,5,22,354,1,4
1,5,22,355,0,4
1,5,35,354,0,2
1,5,35,355,0,2
1,5,36,325,0,6
1,5,36,326,0,6
1,5,36,356,0,6
1,5,36,357,0,6
1,5,36,358,0,6
1,5,36,359,0,6
1,5,53,352,0,2
1,5,53,353,0,2
1,6,3,420,0,4
1,6,3,421,0,4
1,6,3,422,1,4
1,6,3,423,1,4
1,6,4,389,0,3
1,6,4,390,1,3
1,6,4,391,1,3
1,6,5,384,1,2
1,6,5,385,0,2
1,6,6,418,0,5
1,6,6,419,1,5
1,6,6,420,1,5
1,6,6,421,1,5
1,6,6,422,0,5
1,6,8,386,0,5
1,6,8,387,0,5
1,6,8,388,0,5
1,6,8,389,0,5
1,6,8,390,0,5
1,6,10,384,0,1
1,6,12,390,0,2
1,6,12,391,0,2
1,6,19,386,0,5
1,6,19,387,1,5
1,6,19,388,1,5
1,6,19,389,1,5
1,6,19,390,0,5
1,6,20,384,0,3
1,6,20,385,1,3
1,6,20,386,1,3
1,6,21,416,1,2
1,6,21,417,0,2
1,6,22,416,0,4
1,6,22,417,1,4
1,6,22,418,1,4
1,6,22,419,0,4
1,6,23,387,0,4
1,6,23,388,0,4
1,6,23,389,0,4
1,6,23,390,0,4
1,6,24,416,0,2
1,6,24,417,0,2
1,6,25,417,0,2
1,6,25,418,0,2
1,6,27,384,0,3
1,6,27,385,0,3
1,6,27,386,0,3
1,6,35,416,0,4
1,6,35,417,0,4
1,6,35,418,0,4
1,6,35,419,0,4
1,6,36,389,0,7
1,6,36,390,0,7
1,6,36,391,0,7
1,6,36,420,0,7
1,6,36,421,0,7
1,6,36,422,0,7
1,6,36,423,0,7
1,6,38,387,0,4
1,6,38,388,0,4
1,6,38,389,0,4
1,6,38,420,0,4
1,6,39,390,0,2
1,6,39,391,0,2
1,6,53,416,0,2
1,6,53,417,0,2
1,6,55,419,0,2
1,6,55,420,0,2
1,6,56,421,0,3
1,6,56,422,0,3
1,6,56,423,0,3
1,7,3,484,0,4
1,7,3,485,0,4
1,7,3,486,0,4
1,7,3,487,0,4
1,7,4,454,0,1
1,7,6,482,0,5
1,7,6,483,0,5
1,7,6,484,0,5
1,7,6,485,0,5
1,7,6,486,0,5
1,7,8,450,0,5
1,7,8,451,1,5
1,7,8,452,1,5
1,7,8,453,1,5
1,7,8,454,0,5
1,7,9,482,0,5
1,7,9,483,1,5
1,7,9,484,1,5
1,7,9,485,1,5
1,7,9,486,0,5
1,7,10,448,1,1
1,7,12,453,0,3
1,7,12,454,1,3
1,7,12,455,1,3
1,7,19,451,0,3
1,7,19,452,0,3
1,7,19,453,0,3
1,7,20,449,0,2
1,7,20,450,0,2
1,7,21,480,0,2
1,7,21,481,0,2
1,7,22,481,0,3
1,7,22,482,0,3
1,7,22,483,0,3
1,7,23,450,0,5
1,7,23,451,0,5
1,7,23,452,0,5
1,7,23,453,0,5
1,7,23,454,0,5
1,7,24,480,1,2
1,7,24,481,0,2
1,7,25,480,0,3
1,7,25,481,1,3
1,7,25,482,1,3
1,7,26,448,0,2
1,7,26,449,0,2
1,7,27,448,0,4
1,7,27,449,1,4
1,7,27,450,1,4
1,7,27,451,0,4
1,7,35,481,0,3
1,7,35,482,0,3
1,7,35,483,0,3
1,7,36,453,0,6
1,7,36,454,0,6
1,7,36,484,0,6
1,7,36,485,0,6
1,7,36,486,0,6
1,7,36,487,0,6
1,7,38,451,0,3
1,7,38,452,0,3
1,7,38,484,0,3
1,7,39,454,0,2
1,7,39,455,0,2
1,7,53,480,0,3
1,7,53,481,0,3
1,7,53,482,0,3
1,7,55,483,0,2
1,7,55,484,0,2
1,7,56,485,0,3
1,7,56,486,1,3
1,7,56,487,1,3
1,8,3,549,0,2
1,8,3,550,0,2
1,8,6,549,0,2
1,8,6,550,0,2
1,8,8,514,0,5
1,8,8,515,1,5
1,8,8,516,1,5
1,8,8,517,1,5
1,8,8,518,0,5
1,8,9,546,0,5
1,8,9,547,1,5
1,8,9,548,1,5
1,8,9,549,1,5
1,8,9,550,0,5
1,8,10,512,1,2
1,8,10,513,0,2
1,8,12,517,0,3
1,8,12,518,1,3
1,8,12,519,1,3
1,8,23,515,0,4
1,8,23,516,0,4
1,8,23,517,0,4
1,8,23,518,0,4
1,8,24,544,1,3
1,8,24,545,1,3
1,8,24,546,0,3
1,8,25,544,0,4
1,8,25,545,0,4
1,8,25,546,1,4
1,8,25,547,0,4
1,8,26,513,0,3
1,8,26,515,0,3
1,8,26,516,0,3
1,8,27,512,0,5
1,8,27,513,1,5
1,8,27,514,1,5
1,8,27,515,0,5
1,8,27,516,0,5
1,8,35,546,0,2
1,8,35,547,0,2
1,8,36,548,0,3
1,8,36,549,0,3
1,8,36,550,0,3
1,8,38,548,0,1
1,8,39,518,0,2
1,8,39,519,0,2
1,8,43,512,0,1
1,8,53,544,0,3
1,8,53,545,0,3
1,8,53,546,0,3
1,8,56,549,0,3
1,8,56,550,1,3
1,8,56,551,1,3
1,9,8,578,0,5
1,9,8,579,1,5
1,9,8,580,1,5
1,9,8,581,1,5
1,9,8,582,0,5
1,9,9,610,0,5
1,9,9,611,1,5
1,9,9,612,1,5
1,9,9,613,1,5
1,9,9,614,0,5
1,9,10,576,1,2
1,9,10,577,1,2
1,9,12,581,0,3
1,9,12,582,1,3
1,9,12,583,1,3
1,9,23,580,0,2
1,9,23,581,0,2
1,9,24,608,1,3
1,9,24,609,0,3
1,9,24,610,0,3
1,9,25,608,0,4
1,9,25,609,1,4
1,9,25,610,1,4
1,9,25,611,0,4
1,9,26,579,0,2
1,9,26,580,0,2
1,9,27,577,0,3
1,9,27,578,1,3
1,9,27,579,0,3
1,9,36,613,0,2
1,9,36,614,0,2
1,9,39,582,0,1
1,9,56,613,0,3
1,9,56,614,1,3
1,9,56,615,1,3
1,10,8,642,0,5
1,10,8,643,1,5
1,10,8,644,1,5
1,10,8,645,1,5
1,10,8,646,0,5
1,10,9,674,0,5
1,10,9,675,1,5
1,10,9,676,1,5
1,10,9,677,1,5
1,10,9,678,0,5
1,10,10,640,1,2
1,10,10,641,1,2
1,10,11,642,0,5
1,10,11,643,0,5
1,10,11,644,0,5
1,10,11,645,0,5
1,10,11,646,0,5
1,10,12,645,0,3
1,10,12,646,1,3
1,10,12,647,1,3
1,10,13,678,0,2
1,10,13,679,0,2
1,10,23,644,0,2
1,10,23,645,0,2
1,10,24,672,1,3
1,10,24,673,1,3
1,10,24,674,0,3
1,10,25,673,0,3
1,10,25,674,1,3
1,10,25,675,0,3
1,10,26,641,0,6
1,10,26,642,0,6
1,10,26,643,0,6
1,10,26,644,0,6
1,10,26,674,0,6
1,10,26,675,0,6
1,10,27,641,0,3
1,10,27,642,1,3
1,10,27,643,0,3
1,10,29,672,0,2
1,10,29,673,0,2
1,10,39,646,0,3
1,10,39,647,0,3
1,10,39,679,0,3
1,10,43,672,0,1
1,10,56,677,0,3
1,10,56,678,1,3
1,10,56,679,1,3
1,10,58,676,0,3
1,10,58,677,0,3
1,10,58,678,0,3
1,11,8,707,0,3
1,11,8,708,0,3
1,11,8,709,0,3
1,11,9,738,0,5
1,11,9,739,0,5
1,11,9,740,0,5
1,11,9,741,0,5
1,11,9,742,0,5
1,11,10,704,1,3
1,11,10,705,1,3
1,11,10,706,0,3
1,11,11,706,0,5
1,11,11,707,1,5
1,11,11,708,1,5
1,11,11,709,1,5
1,11,11,710,0,5
1,11,12,708,0,4
1,11,12,709,0,4
1,11,12,710,1,4
1,11,12,711,1,4
1,11,13,741,0,3
1,11,13,742,1,3
1,11,13,743,1,3
1,11,14,711,0,1
1,11,24,736,0,3
1,11,24,737,0,3
1,11,24,738,0,3
1,11,25,737,0,3
1,11,25,738,1,3
1,11,25,739,0,3
1,11,26,706,0,4
1,11,26,707,0,4
1,11,26,738,0,4
1,11,26,739,0,4
1,11,27,705,0,3
1,11,27,706,1,3
1,11,27,707,0,3
1,11,28,704,0,4
1,11,28,705,0,4
1,11,28,706,0,4
1,11,28,707,0,4
1,11,29,736,1,3
1,11,29,737,1,3
1,11,29,738,0,3
1,11,31,738,0,2
1,11,31,739,0,2
1,11,39,709,0,5
1,11,39,710,0,5
1,11,39,711,0,5
1,11,39,742,0,5
1,11,39,743,0,5
1,11,43,736,0,2
1,11,43,737,0,2
1,11,45,743,0,1
1,11,47,736,0,1
1,11,56,740,0,4
1,11,56,741,1,4
1,11,56,742,0,4
1,11,56,743,0,4
1,11,58,738,0,5
1,11,58,739,1,5
1,11,58,740,1,5
1,11,58,741,0,5
1,11,58,742,0,5
1,12,9,805,0,2
1,12,9,806,0,2
1,12,10,768,1,2
1,12,10,769,0,2
1,12,11,770,0,4
1,12,11,771,1,4
1,12,11,772,1,4
1,12,11,773,0,4
1,12,12,772,0,4
1,12,12,773,1,4
1,12,12,774,1,4
1,12,12,775,1,4
1,12,13,804,0,4
1,12,13,805,1,4
1,12,13,806,1,4
1,12,13,807,1,4
1,12,14,772,0,4
1,12,14,773,0,4
1,12,14,774,0,4
1,12,14,775,0,4
1,12,15,768,0,2
1,12,15,769,0,2
1,12,25,801,0,2
1,12,25,802,0,2
1,12,26,802,0,1
1,12,27,770,0,2
1,12,27,771,0,2
1,12,28,768,0,5
1,12,28,769,1,5
1,12,28,770,1,5
1,12,28,771,0,5
1,12,28,772,0,5
1,12,29,800,1,3
1,12,29,801,1,3
1,12,29,802,0,3
1,12,31,801,0,3
1,12,31,802,1,3
1,12,31,803,0,3
1,12,39,773,0,3
1,12,39,774,0,3
1,12,39,806,0,3
1,12,43,800,0,2
1,12,43,801,0,2
1,12,44,804,0,2
1,12,44,805,0,2
1,12,45,774,0,6
1,12,45,775,0,6
1,12,45,804,0,6
1,12,45,805,0,6
1,12,45,806,0,6
1,12,45,807,0,6
1,12,47,768,0,3
1,12,47,800,0,3
1,12,47,801,0,3
1,12,56,804,0,3
1,12,56,805,0,3
1,12,56,806,0,3
1,12,58,802,0,5
1,12,58,803,1,5
1,12,58,804,1,5
1,12,58,805,0,5
1,12,58,806,0,5
1,12,60,801,0,3
1,12,60,802,0,3
1,12,60,803,0,3
1,13,11,834,0,4
1,13,11,835,1,4
1,13,11,836,1,4
1,13,11,837,0,4
1,13,12,838,0,2
1,13,12,839,0,2
1,13,13,868,0,4
1,13,13,869,1,4
1,13,13,870,1,4
1,13,13,871,1,4
1,13,14,836,0,4
1,13,14,837,1,4
1,13,14,838,1,4
1,13,14,839,1,4
1,13,15,832,1,2
1,13,15,833,1,2
1,13,28,833,0,4
1,13,28,834,1,4
1,13,28,835,0,4
1,13,28,836,0,4
1,13,29,864,1,2
1,13,29,865,1,2
1,13,31,865,0,3
1,13,31,866,1,3
1,13,31,867,0,3
1,13,39,870,0,1
1,13,44,836,0,4
1,13,44,837,0,4
1,13,44,868,0,4
